0	Son of John and Sarah Hopper, of Plymouth; husband of Georgina Florence Hopper.	Fils de John et Sarah Hopper, de Plymouth; époux de Georgina Florence Hopper.	28	15		UN	/ww1/ww1431.jpg	23826	0	2400	GODEWAERSVELDE BRITISH CEMETERY	CIMETIÈRE BRITANNIQUE DE GODEWAERSVELDE			2	France	France				04		1		UN	15		UN	1	Army	Armée	JAMES FREDRICK	II. A. 13.	J F	259	Nord	Godewaersvelde is a village near the Belgian border, about 16 kilometres south-west of Ieper (in Belgium), and is half-way between Poperinge (in Belgium) and Hazebrouck (in France).  The GODEWAERSVELDE BRITISH CEMETERY is a little east of the village.	Godewaersvelde est un village situé près de la frontière belge, à 16 kilomètres environ au sud-ouest d'Ypres (Belgique), à mi-chemin entre Poperinge (Belgique) et Hazebrouck (France). Le cimetière britannique se trouve un peu à l'est du village.		08		ACF1CD.gif	1900	Private	Soldat	1164	Canadian Infantry (Manitoba Regiment)		2	163364	HOPPER	27th Bn.		1918	
1				15		UN	/ww1/ww1293.jpg	23986	0	2400	GODEWAERSVELDE BRITISH CEMETERY	CIMETIÈRE BRITANNIQUE DE GODEWAERSVELDE			2	France	France	1884-07-08 00:00:00.0		08	23					15			1	Army	Armée	WILLIAM	I. G. 21.	W	259	Nord	Godewaersvelde is a village near the Belgian border, about 16 kilometres south-west of Ieper (in Belgium), and is half-way between Poperinge (in Belgium) and Hazebrouck (in France).  The GODEWAERSVELDE BRITISH CEMETERY is a little east of the village.	Godewaersvelde est un village situé près de la frontière belge, à 16 kilomètres environ au sud-ouest d'Ypres (Belgique), à mi-chemin entre Poperinge (Belgique) et Hazebrouck (France). Le cimetière britannique se trouve un peu à l'est du village.	07	09		ACF1CD.gif	2075	Sapper	Sapeur	311	Canadian Railway Troops	Troupes ferroviaires canadiennes	3	154778	MILES	9th Bn.	1884	1917	
2	Son of Mr. and Mrs. William Partington, of Manchester, England; husband of May Partington (nee Trumble), of 368, Richelieu St., Quebec, Canada.	Fils de M. et Mme William Partington, de Manchester, Angleterre; époux de May Partington (née Trumble), de 368, Richelieu St., Québec, Canada.	31	15		UN	/ww1/ww1306.jpg	24057	0	2400	GODEWAERSVELDE BRITISH CEMETERY	CIMETIÈRE BRITANNIQUE DE GODEWAERSVELDE			2	France	France	1886-04-15 00:00:00.0		15	19					15			1	Army	Armée	WILLIAM	I. O. 44.	W	259	Nord	Godewaersvelde is a village near the Belgian border, about 16 kilometres south-west of Ieper (in Belgium), and is half-way between Poperinge (in Belgium) and Hazebrouck (in France).  The GODEWAERSVELDE BRITISH CEMETERY is a little east of the village.	Godewaersvelde est un village situé près de la frontière belge, à 16 kilomètres environ au sud-ouest d'Ypres (Belgique), à mi-chemin entre Poperinge (Belgique) et Hazebrouck (France). Le cimetière britannique se trouve un peu à l'est du village.	04	10		ACF1CD.gif	1407	Lance Corporal	Caporal suppléant	2467	5<sup>th</sup> Canadian Mounted Rifles (Quebec Regiment)	5<sup>th</sup> Canadian Mounted Rifles (régiment de Québec)	4	458614	PARTINGTON		1886	1917	
3				15		UN	/ww1/ww1523.jpg	4000124	0	2400	GODEWAERSVELDE BRITISH CEMETERY	CIMETIÈRE BRITANNIQUE DE GODEWAERSVELDE			2	France	France	1882-04-30 00:00:00.0		30	11					15			1	Army	Armée	EDWARD	I.S 15A	E	259	Nord	Godewaersvelde is a village near the Belgian border, about 16 kilometres south-west of Ieper (in Belgium), and is half-way between Poperinge (in Belgium) and Hazebrouck (in France).  The GODEWAERSVELDE BRITISH CEMETERY is a little east of the village.	Godewaersvelde est un village situé près de la frontière belge, à 16 kilomètres environ au sud-ouest d'Ypres (Belgique), à mi-chemin entre Poperinge (Belgique) et Hazebrouck (France). Le cimetière britannique se trouve un peu à l'est du village.	04	05		ACF1CD.gif	2075	Sapper	Sapeur	311	Canadian Railway Troops	Troupes ferroviaires canadiennes	5	258425	WILLIAMS	8th Bn.	1882	1918	
4	Son of George Douglas and Kate Glidden Campbell, of North Weymouth, Nova Scotia.  He enlisted at Halifax in August, 1914, and served with the 23rd Battery, Canadian Field Artillery in France until wounded at La Bassee in June, 1915. On discharge from hospital he obtained his Commission in the Imperial Forces.  He was one of two brothers who lost their lives in the Great War.  Six Campbell brothers served.  Brother of Lt. Kenneth Archibald Campbell, killed in action at Vimy Ridge, 23 January 1917.	Fils de George Douglas et Kate Glidden Campbell, de North Weymouth, Nouvelle-Écosse.  Il s'est enrolé à Halifax en août, 1914, et il a servi en France avec le 23rd Battery, Canadian Field  Artillery.  Il a été blessé à La Bassee en juin, 1915.  Il a reçu sa commission dans les forces impériales quand il est sortie de l'hôpital.  Il était un de six frères qui ont servi dans le Première Guerre mondiale, dont deux sont décédés.  Frère de Lt. Kenneth Archibald Campbell, tué en action à la crête de Vimy, le 23 janvier 1917.	21	15	Weymouth	NS	/ww1/ww1576.jpg	23540	0	2400	GODEWAERSVELDE BRITISH CEMETERY	CIMETIÈRE BRITANNIQUE DE GODEWAERSVELDE	Military Cross	Croix militaire	2	France	France	1895-11-22 00:00:00.0	1914-01-01 00:00:00.0	22	10	01	10	Passchendaele	OT	15	Halifax	NS	1	Army	Armée	COLIN GERNON PALMER	I. H. 24.	C G P	259	Nord	Godewaersvelde is a village near the Belgian border, about 16 kilometres south-west of Ieper (in Belgium), and is half-way between Poperinge (in Belgium) and Hazebrouck (in France).  The GODEWAERSVELDE BRITISH CEMETERY is a little east of the village.	Godewaersvelde est un village situé près de la frontière belge, à 16 kilomètres environ au sud-ouest d'Ypres (Belgique), à mi-chemin entre Poperinge (Belgique) et Hazebrouck (France). Le cimetière britannique se trouve un peu à l'est du village.	11	10	01	ACF1CD.gif	1542	Lieutenant	Lieutenant	2985	Royal Field Artillery		6		CAMPBELL	94th Brigade	1895	1917	1914
5	Son of the Rev. Rowland Hill, B.A., and Annie J. Hill (nee Akitt), of Little Current, Ontario. Previously wounded at Courcelette, Oct., 1916	Fils du révérend Rowlet Hill, B.A., et Annie J. Hill (née Akitt), de Little Current, Ontario. Il s'est fait blessé à Courcelette en octobre 1916.	26	15		UN	/ww1/ww1429.jpg	25234	0	2600	ESQUELBECQ MILITARY CEMETERY	CIMETIÈRE MILITAIRE D'ESQUELBECQ			2	France	France				06					15			1	Army	Armée	ROBERT RICHARD	II. F. 1.	R R	259	Nord	<p>Esquelbecq is a village near the Belgian frontier, 24 kilometres north of Hazebrouck and the same distance south of Dunkirk.  The ESQUELBECQ MILITARY CEMETERY is about one kilometre west of the village, 200 metres south of the road to Zeggers-Cappel.</p>	<p>Esquelbecq est un village situé près de la frontière belge, à 24 kilomètres au nord de Hazebrouck et à la même distance au sud de Dunkerque. Le cimetière militaire se trouve à un kilomètre environ à l'ouest du village, à 200 mètres au sud de la route qui mène à Zeggers-Cappel.</p><p>Cimetière militaire d'Esquelbecq<br />Numéro du cimetière Fr. 142.<br />Armée de l'Inde.</p>		08		ACF1DD.gif	1900	Private	Soldat	2463	4<sup>th</sup> Canadian Mounted Rifles (2<sup>nd</sup> Central Ontario Regt.)		7	158110	HILL			1918	
6	Son of Robert and Emma Andrew, of Nelson, BC. Husband of Audrey Eileen Andrew, of Nelson.	Fils de Robert et Emma Andrew, de Nelson, CB. Époux d'Audrey Eileen Andrew, de Nelson.	24	15		UN	/ww2/ww2237.jpg	2276534	0	2600	ESQUELBECQ MILITARY CEMETERY	CIMETIÈRE MILITAIRE D'ESQUELBECQ			2	France	France				24		1		UN	15		UN	2	Air Force	Aviation militaire	ERIC MORROW	Coll. grave 3. H. 1-4.	E M	259	Nord	<p>Esquelbecq is a village near the Belgian frontier, 24 kilometres north of Hazebrouck and the same distance south of Dunkirk.  The ESQUELBECQ MILITARY CEMETERY is about one kilometre west of the village, 200 metres south of the road to Zeggers-Cappel.</p>	<p>Esquelbecq est un village situé près de la frontière belge, à 24 kilomètres au nord de Hazebrouck et à la même distance au sud de Dunkerque. Le cimetière militaire se trouve à un kilomètre environ à l'ouest du village, à 200 mètres au sud de la route qui mène à Zeggers-Cappel.</p><p>Cimetière militaire d'Esquelbecq<br />Numéro du cimetière Fr. 142.<br />Armée de l'Inde.</p>		06		ACF1DD.gif	3115	Flight Lieutenant Navigator	Capitaine d'aviation, navigateur	1809	Royal Canadian Air Force		8	J/13757	ANDREW	7 (R.A.F.) Sqdn		1944	
7	Son of Mr. and Mrs. Walter Wheelock, of Kermaria, Saskatchewan, Canada. Native of Bromsgrove, Worcs., England.		19	15		UN	/ww1/ww1595.jpg	25548	0	2600	ESQUELBECQ MILITARY CEMETERY	CIMETIÈRE MILITAIRE D'ESQUELBECQ			2	France	France				20					15			1	Army	Armée	VICTOR ROBERT	II. D. 4.	V R	259	Nord	<p>Esquelbecq is a village near the Belgian frontier, 24 kilometres north of Hazebrouck and the same distance south of Dunkirk.  The ESQUELBECQ MILITARY CEMETERY is about one kilometre west of the village, 200 metres south of the road to Zeggers-Cappel.</p>	<p>Esquelbecq est un village situé près de la frontière belge, à 24 kilomètres au nord de Hazebrouck et à la même distance au sud de Dunkerque. Le cimetière militaire se trouve à un kilomètre environ à l'ouest du village, à 200 mètres au sud de la route qui mène à Zeggers-Cappel.</p><p>Cimetière militaire d'Esquelbecq<br />Numéro du cimetière Fr. 142.<br />Armée de l'Inde.</p>		05		ACF1DD.gif	1900	Private	Soldat	3033	Royal Inniskilling Fusiliers		9	45188	WHEELOCK	2nd Battalion		1918	
8	Son of William and Eliza Jennings, of  Toronto, Ontario.	Fils de William et Eliza Jennings, de  Morley Avenue, Toronto, Ontario.	32	187		OT	/ww1/ww1436.jpg	25949	0	2701	ADELAIDE CEMETERY (VILLERS-BRETONNEUX)	CIMETIÈRE D'ADELAIDE (VILLERS-BRETONNEUX)			2	France	France	1886-08-01 00:00:00.0		01	08		1		UN	15		UN	1	Army	Armée	WILLIAM	II. G. 16.	W	280	Somme	Villers-Bretonneux is a town 16 kilometres east of Amiens and the ADELAIDE CEMETERY is situated west of the village on the north side of the main road from Amiens to St. Quentin.	Villers-Bretonneux est un centre situé à 16 kilomètres à l'est d'Amiens. Le cimetière se trouve à l'ouest du village, du côté nord de la route principale qui va d'Amiens à Saint-Quentin.	08	08		ACF1E3.gif	1417	Lance Serjeant	Sergent suppléant	337	Canadian Infantry (Central Ontario Regiment)		10	171911	JENNINGS	"""B"" Coy. 3rd Bn."	1886	1918	
9				15		UN	/ww1/ww1442.jpg	25972	0	2701	ADELAIDE CEMETERY (VILLERS-BRETONNEUX)	CIMETIÈRE D'ADELAIDE (VILLERS-BRETONNEUX)			2	France	France	1890-12-25 00:00:00.0		25	08					15			1	Army	Armée	WILLIAM JOHN	II. O. 13.	W J	280	Somme	Villers-Bretonneux is a town 16 kilometres east of Amiens and the ADELAIDE CEMETERY is situated west of the village on the north side of the main road from Amiens to St. Quentin.	Villers-Bretonneux est un centre situé à 16 kilomètres à l'est d'Amiens. Le cimetière se trouve à l'ouest du village, du côté nord de la route principale qui va d'Amiens à Saint-Quentin.	12	08		ACF1E3.gif	1900	Private	Soldat	474	Canadian Infantry (Eastern Ontario Regiment)		11	663432	KING	21st Bn.	1890	1918	
